"Buildname","Champion","role","build"
"Most Winning Build","Leblanc","Middle","3001,3165,3020,3089,3135,3285"
"Most Popular Build","Leblanc","Middle","3165,3020,3285,3089,3135,3157"
"Most Winning Build","Alistar","Support","3009,2049,3401,3190,3110,3190"
"Most Popular Build","Alistar","Support","2049,3009,3401,3190,3110,3143"
"Most Winning Build","Teemo","Top","3146,3020,3151,3115,3135,3089"
"Most Popular Build","Teemo","Top","3151,3020,3115,3089,3135,3157"
"Most Winning Build","Ashe","ADC","3031,3085,3006,3072,3036,3094"
"Most Popular Build","Ashe","ADC","3031,3006,3085,3072,3036,3139"
"Most Winning Build","Singed","Top","3009,3116,3512,3151,3102,3065"
"Most Popular Build","Singed","Top","3027,3009,3116,3742,3001,3512"
"Most Winning Build","Amumu","Jungle","1402,3009,3068,3001,3116,3143"
"Most Popular Build","Amumu","Jungle","1401,3047,3110,3102,3151,3116"
"Most Winning Build","Sona","Support","3092,3100,3020,3285,2049,3512"
"Most Popular Build","Sona","Support","2049,3092,3158,3100,3285,3504"
"Most Winning Build","Corki","Middle","3078,3020,3031,3094,3072,3036"
"Most Winning Build","Corki","ADC","3078,3020,3031,3094,3072,3036"
"Most Popular Build","Corki","Middle","3078,3020,3031,3094,3072,3036"
"Most Popular Build","Corki","ADC","3078,3020,3031,3094,3072,3026"
"Most Winning Build","Swain","Top","3027,3020,3157,3065,3089,3116"
"Most Winning Build","Swain","Middle","3027,3020,3157,3001,3089,3089"
"Most Popular Build","Swain","Top","3027,3020,3157,3089,3001,3135"
"Most Popular Build","Swain","Middle","3027,3020,3157,3089,3001,3135"
"Most Winning Build","Nocturne","Jungle","1400,3158,3142,3074,3156,3053"
"Most Popular Build","Nocturne","Jungle","1400,3158,3142,3074,3053,3026"
"Most Winning Build","Orianna","Middle","3174,3020,3089,3135,3157,3116"
"Most Popular Build","Orianna","Middle","3174,3020,3089,3135,3157,3116"
"Most Winning Build","Rumble","Top","3151,3020,3157,3116,3001,3089"
"Most Winning Build","Rumble","Jungle","1414,3116,3020,3151,3157,3089"
"Most Popular Build","Rumble","Top","3151,3020,3157,3116,3001,3089"
"Most Popular Build","Rumble","Jungle","1402,3020,3116,3151,3157,3001"
"Most Winning Build","Nidalee","Jungle","1414,3027,3158,3100,3089,3135"
"Most Popular Build","Nidalee","Jungle","1414,3158,3027,3100,3157,3135"
"Most Winning Build","Ezreal","ADC","3025,3004,3158,3153,3036,3139"
"Most Popular Build","Ezreal","ADC","3025,3004,3158,3153,3036,3139"
"Most Winning Build","Garen","Top","3068,3009,3071,3065,3742,3053"
"Most Popular Build","Garen","Top","3068,3009,3071,3065,3742,3053"
"Most Winning Build","KogMaw","ADC","3124,3085,3006,3153,3053,3022"
"Most Popular Build","KogMaw","ADC","3124,3006,3085,3153,3053,3156"
"Most Winning Build","Ahri","Middle","3165,3285,3020,3089,3135,3157"
"Most Popular Build","Ahri","Middle","3165,3020,3285,3089,3135,3157"
"Most Winning Build","Varus","ADC","3508,3087,3006,3031,3139,3036"
"Most Winning Build","Varus","Middle","3004,3158,3142,3156,3036,3812"
"Most Popular Build","Varus","ADC","3508,3006,3087,3031,3036,3072"
"Most Popular Build","Varus","Middle","3004,3158,3142,3156,3036,3812"
"Most Winning Build","Ziggs","Middle","3165,3285,3020,3089,3135,3157"
"Most Popular Build","Ziggs","Middle","3174,3020,3285,3089,3135,3151"
"Most Winning Build","Darius","Top","3009,3071,3742,3065,3053,3075"
"Most Popular Build","Darius","Top","3071,3111,3742,3065,3053,3075"
"Most Winning Build","Syndra","Middle","3174,3285,3020,3089,3157,3135"
"Most Popular Build","Syndra","Middle","3174,3020,3285,3089,3135,3157"
"Most Winning Build","Yasuo","Middle","3087,3006,3031,3072,3156,3026"
"Most Winning Build","Yasuo","Top","3087,3006,3031,3072,3139,3156"
"Most Popular Build","Yasuo","Middle","3087,3006,3031,3072,3156,3026"
"Most Popular Build","Yasuo","Top","3046,3111,3078,3072,3053,3026"
"Most Winning Build","Jinx","ADC","3031,3085,3006,3072,3036,3094"
"Most Popular Build","Jinx","ADC","3031,3006,3085,3072,3036,3026"
"Most Winning Build","Vi","Jungle","1400,3078,3111,3742,3156,3053"
"Most Popular Build","Vi","Jungle","1400,3047,3025,3053,3742,3156"
"Most Winning Build","Illaoi","Top","3071,3053,3111,3065,3742,3143"
"Most Popular Build","Illaoi","Top","3071,3111,3053,3742,3065,3025"
"Most Winning Build","Annie","Middle","3027,3285,3020,3089,3157,3116"
"Most Winning Build","Annie","Support","2049,3158,3092,3116,3089,3135"
"Most Popular Build","Annie","Middle","3027,3020,3285,3089,3135,3157"
"Most Popular Build","Annie","Support","2049,3092,3020,3157,3089,3135"
"Most Winning Build","Urgot","Top","3004,3071,3009,3110,3156,3026"
"Most Winning Build","Urgot","ADC","3004,3071,3009,3025,3139,3053"
"Most Winning Build","Urgot","Middle","3004,3111,3071,3812,3025,3033"
"Most Popular Build","Urgot","Top","3004,3111,3071,3110,3036,3102"
"Most Popular Build","Urgot","ADC","3004,3071,3047,3110,3156,3036"
"Most Popular Build","Urgot","Middle","3004,3111,3071,3812,3025,3033"
"Most Winning Build","MasterYi","Jungle","1415,3124,3006,3748,3742,3053"
"Most Popular Build","MasterYi","Jungle","1415,3006,3124,3742,3053,3156"
"Most Winning Build","Soraka","Support","2049,3158,3190,3504,3083,3065"
"Most Popular Build","Soraka","Support","2049,3158,3069,3190,3083,3504"
"Most Winning Build","MissFortune","ADC","3508,3006,3031,3094,3036,3072"
"Most Popular Build","MissFortune","ADC","3508,3006,3031,3094,3036,3072"
"Most Winning Build","Zilean","Middle","3027,3165,3158,3089,3135,3285"
"Most Winning Build","Zilean","Support","2049,3092,3158,3165,3089,3285"
"Most Popular Build","Zilean","Middle","3027,3158,3165,3089,3135,3157"
"Most Popular Build","Zilean","Support","2049,3158,3092,3003,3089,3135"
"Most Winning Build","Chogath","Top","3027,3111,3110,3065,3116,3001"
"Most Winning Build","Chogath","Jungle","1402,3009,3116,3001,3512,3157"
"Most Winning Build","Chogath","Middle","3027,3020,3116,3285,3089,3026"
"Most Popular Build","Chogath","Top","3027,3111,3110,3065,3116,3089"
"Most Popular Build","Chogath","Jungle","1402,3009,3116,3001,3089,3157"
"Most Popular Build","Chogath","Middle","3027,3111,3001,3116,3089,3025"
"Most Winning Build","DrMundo","Jungle","1401,3009,3742,3083,3075,3065"
"Most Winning Build","DrMundo","Top","3068,3009,3065,3083,3075,3083"
"Most Popular Build","DrMundo","Jungle","1413,3047,3065,3075,3083,3102"
"Most Popular Build","DrMundo","Top","3068,3047,3065,3083,3075,3102"
"Most Winning Build","Gangplank","Top","3078,3009,3508,3031,3053,3036"
"Most Winning Build","Gangplank","Middle","3078,3009,3508,3031,3053,3036"
"Most Popular Build","Gangplank","Top","3078,3158,3031,3508,3053,3036"
"Most Popular Build","Gangplank","Middle","3078,3158,3031,3508,3053,3036"
"Most Winning Build","Trundle","Jungle","1401,3009,3748,3025,3065,3053"
"Most Winning Build","Trundle","Top","3748,3009,3025,3065,3742,3075"
"Most Winning Build","Trundle","Support","2049,3009,3190,3110,3075,3222"
"Most Popular Build","Trundle","Jungle","1401,3009,3748,3025,3065,3053"
"Most Popular Build","Trundle","Top","3748,3009,3025,3065,3742,3075"
"Most Popular Build","Trundle","Support","2049,3009,3190,3110,3512,3065"
"Most Winning Build","Katarina","Middle","3001,3285,3020,3089,3135,3135"
"Most Popular Build","Katarina","Middle","3001,3020,3285,3157,3135,3089"
"Most Winning Build","Elise","Jungle","1402,3009,3116,3001,3143,3065"
"Most Popular Build","Elise","Jungle","1402,3020,3116,3151,3001,3110"
"Most Winning Build","Vayne","ADC","3153,3046,3006,3031,3139,3036"
"Most Popular Build","Vayne","ADC","3153,3006,3046,3031,3139,3036"
"Most Winning Build","Nasus","Top","3025,3009,3065,3742,3075,3143"
"Most Popular Build","Nasus","Top","3110,3111,3065,3078,3742,3102"
"Most Winning Build","Pantheon","Jungle","1400,3009,3071,3156,3053,3812"
"Most Winning Build","Pantheon","Top","3142,3009,3071,3156,3053,3139"
"Most Winning Build","Pantheon","Middle","3142,3009,3071,3147,3053,3139"
"Most Popular Build","Pantheon","Jungle","1400,3009,3071,3742,3102,3026"
"Most Popular Build","Pantheon","Top","3142,3009,3071,3156,3742,3075"
"Most Popular Build","Pantheon","Middle","3142,3009,3071,3147,3053,3139"
"Most Winning Build","Kennen","Support","2049,3020,3157,3092,3116,3001"
"Most Winning Build","Kennen","Top","3001,3020,3157,3089,3135,3116"
"Most Winning Build","Kennen","Middle","3020,3157,3116,3285,3116,3089"
"Most Popular Build","Kennen","Support","2049,3092,3009,3157,3116,3001"
"Most Popular Build","Kennen","Top","3157,3020,3116,3001,3089,3135"
"Most Popular Build","Kennen","Middle","3157,3020,3116,3001,3089,3135"
"Most Winning Build","Riven","Top","3071,3158,3074,3072,3139,3026"
"Most Popular Build","Riven","Top","3158,3071,3074,3072,3026,3139"
"Most Winning Build","Shyvana","Jungle","1415,3748,3009,3742,3065,3022"
"Most Popular Build","Shyvana","Jungle","1403,3111,3748,3742,3065,3075"
"Most Winning Build","Rengar","Top","3158,3142,3074,3046,3031,3087"
"Most Winning Build","Rengar","Jungle","1412,3158,3142,3046,3087,3031"
"Most Popular Build","Rengar","Top","3158,3142,3074,3046,3031,3087"
"Most Popular Build","Rengar","Jungle","1412,3158,3142,3046,3087,3031"
"Most Winning Build","Fiora","Top","3074,3009,3071,3053,3156,3065"
"Most Popular Build","Fiora","Top","3074,3111,3071,3053,3156,3026"
"Most Winning Build","Khazix","Jungle","1408,3812,3009,3071,3742,3156"
"Most Popular Build","Khazix","Jungle","1400,3009,3812,3071,3742,3156"
"Most Winning Build","Quinn","Jungle","1412,3142,3009,3053,3087,3031"
"Most Winning Build","Quinn","Top","3142,3009,3094,3053,3156,3147"
"Most Winning Build","Quinn","Middle","3156,3009,3142,3053,3094,3072"
"Most Winning Build","Quinn","ADC","3031,3087,3006,3072,3036,3026"
"Most Popular Build","Quinn","Jungle","1412,3009,3142,3053,3156,3153"
"Most Popular Build","Quinn","Top","3142,3009,3094,3053,3156,3072"
"Most Popular Build","Quinn","Middle","3009,3142,3156,3053,3094,3072"
"Most Popular Build","Quinn","ADC","3508,3006,3087,3031,3072,3026"
"Most Winning Build","Zac","Jungle","1402,3009,3068,3065,3151,3116"
"Most Winning Build","Zac","Top","3068,3020,3065,3151,3742,3143"
"Most Popular Build","Zac","Jungle","1409,3047,3065,3742,3075,3800"
"Most Popular Build","Zac","Top","3068,3047,3065,3742,3001,3075"
"Most Winning Build","Kindred","Jungle","1415,3085,3009,3156,3053,3153"
"Most Popular Build","Kindred","Jungle","1415,3009,3085,3053,3156,3153"
"Most Winning Build","Ekko","Top","3068,3025,3009,3065,3001,3075"
"Most Winning Build","Ekko","Jungle","1402,3009,3025,3065,3068,3026"
"Most Winning Build","Ekko","Middle","3027,3020,3157,3285,3742,3026"
"Most Popular Build","Ekko","Top","3068,3025,3111,3065,3001,3742"
"Most Popular Build","Ekko","Jungle","1402,3009,3025,3001,3742,3157"
"Most Popular Build","Ekko","Middle","3165,3020,3157,3285,3089,3001"
"Most Winning Build","Thresh","Support","3009,2049,3401,3190,3222,3083"
"Most Popular Build","Thresh","Support","2049,3009,3401,3190,3110,3222"
"Most Winning Build","TwistedFate","Middle","3027,3158,3100,3285,3089,3135"
"Most Popular Build","TwistedFate","Middle","3158,3100,3157,3089,3135,3285"
"Most Winning Build","FiddleSticks","Jungle","1402,3157,3020,3089,3001,3135"
"Most Winning Build","FiddleSticks","Support","2049,3158,3092,3157,3116,3001"
"Most Popular Build","FiddleSticks","Jungle","1402,3020,3157,3089,3135,3151"
"Most Popular Build","FiddleSticks","Support","2049,3092,3020,3157,3001,3116"
"Most Winning Build","Sion","Top","3068,3111,3025,3065,3053,3075"
"Most Winning Build","Sion","Jungle","1401,3009,3748,3102,3075,3022"
"Most Popular Build","Sion","Top","3068,3111,3025,3065,3075,3083"
"Most Popular Build","Sion","Jungle","1401,3111,3110,3065,3075,3065"
"Most Winning Build","Warwick","Top","3068,3110,3009,3156,3075,3091"
"Most Winning Build","Warwick","Jungle","1415,3153,3111,3065,3742,3091"
"Most Popular Build","Warwick","Top","3068,3111,3153,3065,3124,3091"
"Most Popular Build","Warwick","Jungle","1415,3111,3153,3742,3065,3053"
"Most Winning Build","Jax","Top","3124,3146,3111,3078,3053,3026"
"Most Winning Build","Jax","Jungle","1403,3124,3111,3146,3053,3143"
"Most Popular Build","Jax","Top","3124,3111,3146,3078,3053,3026"
"Most Popular Build","Jax","Jungle","1403,3124,3111,3146,3053,3143"
"Most Winning Build","Twitch","ADC","3142,3085,3006,3031,3153,3036"
"Most Popular Build","Twitch","ADC","3153,3006,3085,3031,3036,3139"
"Most Winning Build","Anivia","Middle","3027,3003,3020,3089,3135,3151"
"Most Popular Build","Anivia","Middle","3027,3020,3003,3089,3135,3157"
"Most Winning Build","Irelia","Top","3124,3078,3111,3053,3742,3065"
"Most Popular Build","Irelia","Top","3078,3111,3124,3742,3065,3053"
"Most Winning Build","Taric","Support","2049,3401,3047,3110,3190,3800"
"Most Popular Build","Taric","Support","2049,3401,3047,3110,3190,3800"
"Most Winning Build","Blitzcrank","Support","3009,2049,3401,3190,3110,3742"
"Most Popular Build","Blitzcrank","Support","2049,3117,3401,3190,3110,3222"
"Most Winning Build","Renekton","Top","3074,3071,3047,3053,3742,3139"
"Most Popular Build","Renekton","Top","3071,3111,3748,3742,3065,3156"
"Most Winning Build","Brand","Middle","3116,3020,3151,3089,3135,3157"
"Most Winning Build","Brand","Support","3092,3020,3116,3151,2049,3001"
"Most Popular Build","Brand","Middle","3151,3020,3116,3157,3089,3135"
"Most Popular Build","Brand","Support","2049,3092,3020,3116,3151,3135"
"Most Winning Build","Skarner","Jungle","1401,3009,3025,3742,3053,3075"
"Most Popular Build","Skarner","Jungle","1401,3009,3025,3742,3053,3190"
"Most Winning Build","Poppy","Top","3068,3025,3009,3065,3143,3075"
"Most Winning Build","Poppy","Support","2049,3009,3401,3190,3025,3742"
"Most Winning Build","Poppy","Jungle","1401,3009,3025,3742,3102,3075"
"Most Popular Build","Poppy","Top","3068,3009,3025,3065,3742,3075"
"Most Popular Build","Poppy","Support","2049,3009,3401,3190,3025,3068"
"Most Popular Build","Poppy","Jungle","1401,3009,3025,3742,3065,3053"
"Most Winning Build","Yorick","Top","3004,3071,3111,3025,3742,3110"
"Most Popular Build","Yorick","Top","3004,3111,3025,3065,3083,3026"
"Most Winning Build","Malzahar","Middle","3027,3020,3151,3116,3089,3135"
"Most Popular Build","Malzahar","Middle","3027,3020,3151,3116,3089,3135"
"Most Winning Build","Lux","Support","2049,3092,3020,3165,3157,3285"
"Most Winning Build","Lux","Middle","3165,3285,3020,3089,3135,3157"
"Most Popular Build","Lux","Support","2049,3092,3020,3285,3135,3089"
"Most Popular Build","Lux","Middle","3165,3020,3285,3089,3135,3157"
"Most Winning Build","Fizz","Jungle","1402,3100,3158,3157,3089,3001"
"Most Winning Build","Fizz","Top","3001,3158,3100,3157,3135,3089"
"Most Winning Build","Fizz","Middle","3001,3158,3100,3157,3135,3089"
"Most Popular Build","Fizz","Jungle","1414,3158,3100,3157,3089,3135"
"Most Popular Build","Fizz","Top","3068,3025,3158,3001,3157,3135"
"Most Popular Build","Fizz","Middle","3001,3158,3100,3157,3135,3089"
"Most Winning Build","Viktor","Middle","3001,3158,3116,3198,3089,3135"
"Most Popular Build","Viktor","Middle","3001,3158,3116,3198,3089,3135"
"Most Winning Build","Draven","ADC","3031,3046,3006,3072,3036,3102"
"Most Popular Build","Draven","ADC","3031,3006,3094,3072,3036,3139"
"Most Winning Build","Lissandra","Middle","3027,3157,3020,3089,3001,3135"
"Most Winning Build","Lissandra","Top","3165,3158,3157,3001,3089,3135"
"Most Popular Build","Lissandra","Middle","3027,3020,3157,3089,3135,3001"
"Most Popular Build","Lissandra","Top","3027,3158,3157,3001,3135,3089"
"Most Winning Build","Zyra","Middle","3174,3020,3116,3151,3135,3089"
"Most Winning Build","Zyra","Support","2049,3020,3116,3151,3157,3165"
"Most Popular Build","Zyra","Middle","3165,3020,3116,3151,3089,3135"
"Most Popular Build","Zyra","Support","2049,3092,3020,3151,3116,3135"
"Most Winning Build","Braum","Support","2049,3009,3190,3110,3512,3800"
"Most Popular Build","Braum","Support","2049,3009,3401,3190,3110,3102"
"Most Winning Build","Lucian","ADC","3508,3087,3158,3031,3072,3036"
"Most Popular Build","Lucian","ADC","3508,3158,3087,3031,3072,3036"
"Most Winning Build","Nami","Support","2049,3117,3092,3190,3222,3050"
"Most Popular Build","Nami","Support","2049,3092,3158,3190,3222,3050"
"Most Winning Build","Kalista","ADC","3153,3085,3006,3072,3036,3139"
"Most Popular Build","Kalista","ADC","3153,3006,3085,3072,3036,3139"
"Most Winning Build","Galio","Top","3174,3111,3001,3065,3157,3285"
"Most Winning Build","Galio","Middle","3174,3001,3111,3065,3089,3285"
"Most Popular Build","Galio","Top","3174,3111,3001,3065,3157,3285"
"Most Popular Build","Galio","Middle","3174,3111,3001,3065,3157,3135"
