"Buildname","Champion","role","build"
"Most Winning Build","Jayce","Middle","3142,3004,3158,3071,3071,3156"
"Most Popular Build","Jayce","Top","3004,3158,3071,3036,3156,3053"
"Most Popular Build","Jayce","Middle","3004,3158,3142,3071,3036,3102"
"Most Winning Build","AurelionSol","Jungle","1402,3027,3009,3116,3089,3157"
"Most Winning Build","AurelionSol","Middle","3027,3009,3116,3151,3089,3135"
"Most Popular Build","AurelionSol","Jungle","1402,3009,3027,3116,3157,3151"
"Most Popular Build","AurelionSol","Middle","3027,3009,3116,3157,3089,3135"
"Most Winning Build","Velkoz","Middle","3174,3285,3020,3151,3089,3135"
"Most Winning Build","Velkoz","Support","2049,3092,3020,3151,3116,3157"
"Most Popular Build","Velkoz","Middle","3174,3020,3285,3151,3135,3089"
"Most Popular Build","Velkoz","Support","2049,3092,3020,3151,3116,3285"
"Most Winning Build","TahmKench","Support","2049,3009,3401,3190,3742,3075"
"Most Winning Build","TahmKench","Top","3068,3009,3065,3742,3075,3748"
"Most Popular Build","TahmKench","Support","2049,3009,3401,3190,3742,3075"
"Most Popular Build","TahmKench","Top","3068,3009,3065,3742,3075,3748"
"Most Winning Build","Aatrox","Top","3153,3047,3046,3074,3053,3075"
"Most Winning Build","Aatrox","Jungle","1415,3153,3111,3065,3022,3143"
"Most Popular Build","Aatrox","Top","3153,3047,3074,3026,3065,3742"
"Most Popular Build","Aatrox","Jungle","1403,3047,3153,3143,3075,3156"
"Most Winning Build","RekSai","Jungle","1400,3009,3748,3742,3156,3065"
"Most Popular Build","RekSai","Jungle","1401,3009,3748,3742,3065,3071"
