"Name","Opponent","role","winrate"
"Nunu","Malphite","Top","46.66"
"Nunu","Maokai","Top","50"
"Nunu","Trundle","Top","45.45"
"Nunu","Irelia","Top","38.7"
"Nunu","Fizz","Top","33.33"
"Nunu","Nautilus","Top","35"
"Nunu","Yasuo","Top","50"
"Nunu","Graves","Top","43.75"
"Nunu","Ekko","Top","24.44"
"Morgana","Urgot","Middle","57.14"
"Morgana","Mordekaiser","Middle","70"
"Morgana","Galio","Middle","54.28"
"Morgana","Karthus","Middle","43.54"
"Morgana","Cassiopeia","Middle","63.63"
"Morgana","Swain","Middle","63.79"
"Morgana","Heimerdinger","Middle","51.06"
"Morgana","Ziggs","Middle","51.08"
"Morgana","Veigar","Middle","53.04"
"Morgana","Kennen","Middle","46.34"
"Morgana","Xerath","Middle","55.9"
"Morgana","Syndra","Middle","52.94"
"Morgana","Jayce","Middle","62.24"
"Morgana","Zyra","Middle","38.7"
"Morgana","Talon","Middle","50.36"
"Morgana","Kassadin","Middle","61.93"
"Morgana","Viktor","Middle","45.69"
"Morgana","Akali","Middle","45.67"
"Morgana","AurelionSol","Middle","61.4"
"Morgana","Vladimir","Middle","56"
"Morgana","Varus","Middle","44.71"
"Morgana","Anivia","Middle","50.21"
"Morgana","Quinn","Middle","57.14"
"Morgana","Zilean","Middle","53.12"
"Morgana","Chogath","Middle","47.5"
"Morgana","Brand","Middle","51.85"
"Morgana","Ryze","Middle","57.29"
"Morgana","Velkoz","Middle","51.31"
"Morgana","Malzahar","Middle","52.09"
"Morgana","Kayle","Middle","53.91"
"Morgana","Pantheon","Middle","73.33"
"Morgana","Katarina","Middle","51.51"
"Morgana","Orianna","Middle","55.37"
"Morgana","Diana","Middle","51.33"
"Morgana","Gangplank","Middle","55.81"
"Morgana","Annie","Middle","51.15"
"Morgana","Lissandra","Middle","52.9"
"Morgana","Lulu","Middle","50.6"
"Morgana","Karma","Middle","54.75"
"Morgana","Corki","Middle","60.07"
"Morgana","TwistedFate","Middle","49.55"
"Morgana","Zed","Middle","57.34"
"Morgana","Azir","Middle","54.83"
"Morgana","Fizz","Middle","49.55"
"Morgana","Ahri","Middle","52.04"
"Morgana","Leblanc","Middle","53.36"
"Morgana","Lux","Middle","52"
"Morgana","Yasuo","Middle","51.83"
"Morgana","Ekko","Middle","55.23"
"Karthus","Urgot","Middle","100"
"Karthus","Mordekaiser","Middle","0"
"Karthus","Galio","Middle","50"
"Karthus","Cassiopeia","Middle","50"
"Karthus","Swain","Middle","52.63"
"Karthus","Heimerdinger","Middle","50"
"Karthus","Ziggs","Middle","60.86"
"Karthus","Veigar","Middle","50"
"Karthus","Kennen","Middle","56.25"
"Karthus","Xerath","Middle","56.6"
