"Champion","role","opponent","win_rate"
"XinZhao","Jungle","MasterYi""","52.47"
"XinZhao","Jungle","Trundle""","54.23"
"XinZhao","Jungle","Khazix""","51.24"
"XinZhao","Jungle","Fizz""","52.97"
"XinZhao","Jungle","Gragas""","53.29"
"XinZhao","Jungle","Graves""","46.37"
"XinZhao","Jungle","Ekko""","48.14"
"XinZhao","Jungle","LeeSin""","54.67"
"Kayle","Top","Yorick""","68.18"
"Kayle","Top","Urgot""","50"
"Kayle","Top","Mordekaiser""","78.94"
"Kayle","Top","Galio""","57.14"
"Kayle","Top","Nunu""","71.42"
"Kayle","Top","Aatrox""","64.51"
"Kayle","Top","Singed""","56.71"
"Kayle","Top","Rumble""","41.37"
"Kayle","Top","Cassiopeia""","62.5"
"Kayle","Top","Swain""","55.55"
"Kayle","Top","Heimerdinger""","65.85"
"Kayle","Top","Olaf""","57.28"
"Kayle","Top","Illaoi""","66.97"
"Kayle","Top","Kennen""","49.36"
"Kayle","Top","Jayce""","69.66"
"Kayle","Top","Warwick""","38.88"
"Kayle","Top","Sion""","49.24"
"Kayle","Top","Akali""","51.21"
"Kayle","Top","Teemo""","49.63"
"Kayle","Top","DrMundo""","57.71"
"Kayle","Top","Vladimir""","67.88"
"Kayle","Top","Tryndamere""","59.7"
"Kayle","Top","Gnar""","50.43"
"Kayle","Top","Quinn""","45.6"
"Kayle","Top","TahmKench""","56.52"
"Kayle","Top","Chogath""","60.71"
"Kayle","Top","Hecarim""","53.96"
"Kayle","Top","Fiora""","58.88"
"Kayle","Top","JarvanIV""","42.62"
"Kayle","Top","Zac""","67.74"
"Kayle","Top","Ryze""","59.42"
"Kayle","Top","MonkeyKing""","51.85"
"Kayle","Top","Garen""","58.77"
"Kayle","Top","Pantheon""","46.4"
"Kayle","Top","Renekton""","52.11"
"Kayle","Top","Shen""","58.43"
"Kayle","Top","Rammus""","58.33"
"Kayle","Top","Nasus""","56.45"
"Kayle","Top","Rengar""","54.09"
"Kayle","Top","Volibear""","57.83"
"Kayle","Top","Gangplank""","54.57"
"Kayle","Top","Riven""","56"
"Kayle","Top","Lissandra""","61.11"
"Kayle","Top","Poppy""","60.75"
"Kayle","Top","Lulu""","57.89"
"Kayle","Top","Darius""","56.34"
"Kayle","Top","Jax""","53.7"
"Kayle","Top","Malphite""","52.61"
"Kayle","Top","Maokai""","55.67"
"Kayle","Top","Trundle""","54.06"
"Kayle","Top","Irelia""","53.34"
"Kayle","Top","Fizz""","59.13"
"Kayle","Top","Nautilus""","52.57"
"Kayle","Top","Yasuo""","57.21"
"Kayle","Top","Graves""","54.48"
"Kayle","Top","Ekko""","46.33"
"Kayle","Top","",""
"Kayle","Middle","Urgot""","60"
"Kayle","Middle","Mordekaiser""","50"
"Kayle","Middle","Galio""","81.25"
"Kayle","Middle","Karthus""","45.94"
"Kayle","Middle","Cassiopeia""","57.49"
"Kayle","Middle","Swain""","54.28"
"Kayle","Middle","Heimerdinger""","39.39"
"Kayle","Middle","Ziggs""","48.33"
"Kayle","Middle","Veigar""","64.4"
"Kayle","Middle","Kennen""","65.51"
"Kayle","Middle","Xerath""","63.09"
"Kayle","Middle","Syndra""","46.83"
"Kayle","Middle","Jayce""","51.72"
"Kayle","Middle","Zyra""","42.85"
"Kayle","Middle","Talon""","54.61"
"Kayle","Middle","Kassadin""","64.55"
"Kayle","Middle","Viktor""","54.19"
"Kayle","Middle","Akali""","55.17"
"Kayle","Middle","AurelionSol""","52.05"
"Kayle","Middle","Vladimir""","65.21"
"Kayle","Middle","Varus""","58.49"
"Kayle","Middle","Anivia""","49"
"Kayle","Middle","Quinn""","47.82"
"Kayle","Middle","Zilean""","50"
"Kayle","Middle","Chogath""","49.15"
"Kayle","Middle","Brand""","51.76"
"Kayle","Middle","Ryze""","56.94"
"Kayle","Middle","Velkoz""","41.57"
"Kayle","Middle","Malzahar""","56.02"
"Kayle","Middle","Pantheon""","46.15"
"Kayle","Middle","Katarina""","56.25"
"Kayle","Middle","Orianna""","51.13"
"Kayle","Middle","Diana""","53.7"
"Kayle","Middle","Gangplank""","54.02"
"Kayle","Middle","Annie""","50.53"
"Kayle","Middle","Lissandra""","55.26"
"Kayle","Middle","Lulu""","59.43"
"Kayle","Middle","Karma""","52.05"
"Kayle","Middle","Corki""","53.75"
"Kayle","Middle","TwistedFate""","44.08"
"Kayle","Middle","Zed""","57.9"
"Kayle","Middle","Azir""","48.18"
"Kayle","Middle","Fizz""","54.65"
"Kayle","Middle","Ahri""","46.48"
"Kayle","Middle","Leblanc""","56.71"
"Kayle","Middle","Lux""","53.15"
"Kayle","Middle","Morgana""","46.08"
"Kayle","Middle","Yasuo""","58.9"
"Kayle","Middle","Ekko""","55.66"
"Kayle","Middle","",""
"Kayle","Jungle","Nunu""","55.55"
"Kayle","Jungle","Aatrox""","50"
"Kayle","Jungle","Rumble""","75"
"Kayle","Jungle","Skarner""","28.57"
"Kayle","Jungle","FiddleSticks""","50"
"Kayle","Jungle","Olaf""","50"
"Kayle","Jungle","RekSai""","47.05"
"Kayle","Jungle","Warwick""","65.71"
"Kayle","Jungle","Evelynn""","65.85"
"Kayle","Jungle","Sion""","75"
"Kayle","Jungle","DrMundo""","55.55"
"Kayle","Jungle","AurelionSol""","58.33"
"Kayle","Jungle","Sejuani""","43.75"
"Kayle","Jungle","Tryndamere""","41.66"
"Kayle","Jungle","Quinn""","55.55"
"Kayle","Jungle","Chogath""","33.33"
"Kayle","Jungle","Hecarim""","53.12"
"Kayle","Jungle","JarvanIV""","40.54"
"Kayle","Jungle","Zac""","54.23"
"Kayle","Jungle","Nocturne""","37.25"
"Kayle","Jungle","MonkeyKing""","47.82"
"Kayle","Jungle","XinZhao""","58.49"
"Kayle","Jungle","Udyr""","46.66"
"Kayle","Jungle","Pantheon""","57.14"
"Kayle","Jungle","Rammus""","55.76"
"Kayle","Jungle","Shaco""","53.62"
"Kayle","Jungle","Vi""","49.12"
"Kayle","Jungle","Shyvana""","55.76"
"Kayle","Jungle","Rengar""","50.81"
"Kayle","Jungle","Diana""","43.33"
"Kayle","Jungle","Volibear""","47.16"
"Kayle","Jungle","Amumu""","54.87"
"Kayle","Jungle","Elise""","41.17"
"Kayle","Jungle","Nidalee""","42.2"
"Kayle","Jungle","Poppy""","52.94"
"Kayle","Jungle","Jax""","41.66"
"Kayle","Jungle","Kindred""","47.76"
"Kayle","Jungle","Maokai""","68.75"
"Kayle","Jungle","MasterYi""","44.68"
"Kayle","Jungle","Trundle""","53.33"
"Kayle","Jungle","Khazix""","47.29"
"Kayle","Jungle","Fizz""","40"
"Kayle","Jungle","Gragas""","50.47"
"Kayle","Jungle","Graves""","44.79"
"Kayle","Jungle","Ekko""","43.85"
"Kayle","Jungle","LeeSin""","55.33"
"Zyra","Support","Galio""","63.63"
"Zyra","Support","Nunu""","66.66"
"Zyra","Support","FiddleSticks""","100"
"Zyra","Support","Kennen""","81.81"
"Zyra","Support","Taric""","54.23"
"Zyra","Support","TahmKench""","51.11"
"Zyra","Support","Zilean""","51.74"
"Zyra","Support","Brand""","45.45"
"Zyra","Support","Sona""","51.53"
"Zyra","Support","Velkoz""","53.96"
"Zyra","Support","Shen""","53.57"
"Zyra","Support","Nami""","49.87"
"Zyra","Support","Annie""","55"
"Zyra","Support","Poppy""","54.16"
"Zyra","Support","Lulu""","56.93"
"Zyra","Support","Karma""","48.76"
"Zyra","Support","Bard""","52.66"
"Zyra","Support","Leona""","48.86"
"Zyra","Support","Trundle""","51.06"
"Zyra","Support","Soraka""","45.13"
"Zyra","Support","Lux""","51.38"
"Zyra","Support","Nautilus""","53.06"
"Zyra","Support","Janna""","48"
"Zyra","Support","Blitzcrank""","45.9"
"Zyra","Support","Morgana""","50.81"
"Zyra","Support","Braum""","50.62"
"Zyra","Support","Alistar""","51.82"
"Zyra","Support","Thresh""","54.36"
"Zyra","Support","",""
"Zyra","Middle","Mordekaiser""","100"
"Zyra","Middle","Galio""","42.85"
"Zyra","Middle","Karthus""","28.57"
"Zyra","Middle","Cassiopeia""","28.57"
"Zyra","Middle","Swain""","50"
"Zyra","Middle","Heimerdinger""","60"
"Zyra","Middle","Ziggs""","50"
"Zyra","Middle","Veigar""","56.25"
"Zyra","Middle","Kennen""","60"
"Zyra","Middle","Xerath""","58.82"
"Zyra","Middle","Syndra""","36.36"
"Zyra","Middle","Jayce""","50"
"Zyra","Middle","Talon""","15"
"Zyra","Middle","Kassadin""","59.09"
"Zyra","Middle","Viktor""","44.82"
"Zyra","Middle","Akali""","63.63"
"Zyra","Middle","AurelionSol""","54.28"
"Zyra","Middle","Vladimir""","60"
"Zyra","Middle","Varus""","47.61"
"Zyra","Middle","Anivia""","48.27"
"Zyra","Middle","Quinn""","80"
"Zyra","Middle","Zilean""","46.66"
"Zyra","Middle","Chogath""","53.33"
"Zyra","Middle","Brand""","35.48"
"Zyra","Middle","Ryze""","33.33"
"Zyra","Middle","Velkoz""","39.13"
"Zyra","Middle","Malzahar""","54.54"
"Zyra","Middle","Kayle""","57.14"
"Zyra","Middle","Pantheon""","100"
"Zyra","Middle","Katarina""","29.09"
"Zyra","Middle","Orianna""","45.58"
"Zyra","Middle","Diana""","33.33"
"Zyra","Middle","Gangplank""","40"
"Zyra","Middle","Annie""","50.76"
"Zyra","Middle","Lissandra""","53.84"
"Zyra","Middle","Lulu""","54.54"
"Zyra","Middle","Karma""","57.57"
"Zyra","Middle","Corki""","37.14"
"Zyra","Middle","TwistedFate""","51.35"
"Zyra","Middle","Zed""","50"
"Zyra","Middle","Azir""","45.71"
"Zyra","Middle","Fizz""","39.7"
"Zyra","Middle","Ahri""","50.42"
"Zyra","Middle","Leblanc""","46.6"
"Zyra","Middle","Lux""","50.44"
"Zyra","Middle","Morgana""","61.29"
"Zyra","Middle","Yasuo""","49.01"
"Zyra","Middle","Ekko""","57.14"
"Sivir","ADC","Urgot""","51.35"
"Sivir","ADC","Varus""","54.09"
"Sivir","ADC","Quinn""","46.75"
"Sivir","ADC","MissFortune""","53.04"
"Sivir","ADC","Twitch""","47.55"
"Sivir","ADC","Kalista""","54.84"
"Sivir","ADC","Ashe""","50.92"
"Sivir","ADC","Draven""","50.76"
"Sivir","ADC","KogMaw""","46.19"
"Sivir","ADC","Tristana""","52.63"
"Sivir","ADC","Corki""","56.9"
"Sivir","ADC","Jinx""","51.25"
"Sivir","ADC","Caitlyn""","53.83"
"Sivir","ADC","Graves""","46.53"
"Sivir","ADC","Jhin""","51.2"
"Sivir","ADC","Vayne""","52.31"
"Sivir","ADC","Ezreal""","52.58"
"Sivir","ADC","Lucian""","52.39"
"Braum","Support","Galio""","52.17"
"Braum","Support","Nunu""","47.27"
"Braum","Support","FiddleSticks""","61.11"
"Braum","Support","Kennen""","48.88"
"Braum","Support","Taric""","49.87"
"Braum","Support","Zyra""","49.37"
"Braum","Support","TahmKench""","52.19"
"Braum","Support","Zilean""","47.39"
"Braum","Support","Brand""","47.97"
"Braum","Support","Sona""","49.77"
"Braum","Support","Velkoz""","46.55"
"Braum","Support","Shen""","46.29"
"Braum","Support","Nami""","50.4"
"Braum","Support","Annie""","55.81"
"Braum","Support","Poppy""","59.54"
"Braum","Support","Lulu""","56.84"
"Braum","Support","Karma""","53.94"
"Braum","Support","Bard""","49.84"
"Braum","Support","Leona""","50.29"
"Braum","Support","Trundle""","49.79"
"Braum","Support","Soraka""","45.82"
"Braum","Support","Lux""","54.23"
"Braum","Support","Nautilus""","51.15"
"Braum","Support","Janna""","48.9"
"Braum","Support","Blitzcrank""","50.23"
"Braum","Support","Morgana""","49.73"
"Braum","Support","Alistar""","50.38"
"Braum","Support","Thresh""","52.97"
"Nunu","Top","Yorick""","100"
"Nunu","Top","Mordekaiser""","0"
"Nunu","Top","Galio""","0"
"Nunu","Top","Aatrox""","0"
"Nunu","Top","Singed""","0"
"Nunu","Top","Rumble""","33.33"
"Nunu","Top","Cassiopeia""","0"
"Nunu","Top","Swain""","0"
"Nunu","Top","Heimerdinger""","100"
"Nunu","Top","Olaf""","50"
"Nunu","Top","Illaoi""","54.54"
"Nunu","Top","Kennen""","0"
"Nunu","Top","Jayce""","33.33"
"Nunu","Top","Warwick""","0"
"Nunu","Top","Sion""","30"
"Nunu","Top","Akali""","50"
"Nunu","Top","Teemo""","30"
"Nunu","Top","DrMundo""","42.85"
"Nunu","Top","Vladimir""","50"
"Nunu","Top","Tryndamere""","33.33"
"Nunu","Top","Gnar""","20"
"Nunu","Top","Quinn""","42.85"
"Nunu","Top","TahmKench""","60"
"Nunu","Top","Chogath""","57.14"
"Nunu","Top","Hecarim""","16.66"
"Nunu","Top","Fiora""","58.33"
"Nunu","Top","JarvanIV""","50"
"Nunu","Top","Zac""","100"
"Nunu","Top","Ryze""","37.5"
"Nunu","Top","MonkeyKing""","0"
"Nunu","Top","Garen""","42.85"
"Nunu","Top","Kayle""","28.57"
"Nunu","Top","Pantheon""","33.33"
"Nunu","Top","Renekton""","37.5"
"Nunu","Top","Shen""","23.07"
"Nunu","Top","Rammus""","22.22"
"Nunu","Top","Nasus""","37.5"
"Nunu","Top","Volibear""","100"
"Nunu","Top","Gangplank""","45.45"
"Nunu","Top","Riven""","5.88"
"Nunu","Top","Lissandra""","0"
"Nunu","Top","Poppy""","47.36"
"Nunu","Top","Lulu""","0"
"Nunu","Top","Darius""","45.45"
"Nunu","Top","Jax""","54.54"
"Nunu","Top","Malphite""","46.66"
"Nunu","Top","Maokai""","50"
"Nunu","Top","Trundle""","45.45"
"Nunu","Top","Irelia""","38.7"
"Nunu","Top","Fizz""","33.33"
"Nunu","Top","Nautilus""","35"
"Nunu","Top","Yasuo""","50"
"Nunu","Top","Graves""","43.75"
"Nunu","Top","Ekko""","24.44"
"Nunu","Top","",""
"Nunu","Support","Kennen""","0"
"Nunu","Support","Taric""","41.66"
